district,month,hour,T2M_mean,T2M_std,PS_mean,PS_std,RH2M_mean,RH2M_std
Mahbubnagar,9,0,23.38484536082474,0.8092809480773404,957.2123711340207,1.3829510816215174,93.31484536082475,3.7076936096340196
Mahbubnagar,9,1,23.080309278350516,0.8034307344240585,956.680412371134,1.4221930816566397,94.23164948453608,3.001747990897823
Mahbubnagar,9,2,22.827216494845363,0.810643702904313,956.3639175257732,1.4654482794673431,94.86639175257731,2.5164377043613158
Mahbubnagar,9,3,22.615670103092782,0.8244580381687291,956.4030927835053,1.4782769818446027,95.39896907216496,2.0871663827903575
Mahbubnagar,9,4,22.439072164948456,0.8381167908797926,956.7773195876288,1.4722789275642763,95.8601030927835,1.823695592543107
Mahbubnagar,9,5,22.31237113402062,0.8488261173476029,957.3762886597938,1.4581504549054467,96.12195876288659,1.7057657366361303
Mahbubnagar,9,6,22.8440206185567,0.7982854802035311,958.0917525773195,1.466974643547383,93.99237113402062,2.1907550891929395
Mahbubnagar,9,7,23.963608247422677,0.9889927383949495,958.8072164948454,1.5117765089650035,88.98443298969072,4.792705605281879
Mahbubnagar,9,8,25.418350515463917,1.3812499475206388,959.1824742268041,1.5529548655492351,81.98123711340206,7.472195580078295
Mahbubnagar,9,9,26.770103092783504,1.7647647947893328,959.0742268041237,1.5203671671750958,75.86226804123712,9.293954296695892
Mahbubnagar,9,10,27.8219587628866,2.06546889308016,958.6340206185567,1.4746388398193722,71.62639175257732,10.401138077309847
Mahbubnagar,9,11,28.54783505154639,2.273030386769008,957.8494845360824,1.418561750458027,68.93793814432989,11.086959582671925
Mahbubnagar,9,12,28.95762886597938,2.3966051393915673,956.9082474226805,1.4251220783302656,67.4019587628866,11.554856900813688
Mahbubnagar,9,13,29.082577319587628,2.4338276945099446,956.1020618556701,1.466144275915813,66.8820618556701,11.835163702760257
Mahbubnagar,9,14,28.915773195876287,2.3921855571194164,955.6051546391752,1.5092334653461905,67.5060824742268,11.98965218399296
Mahbubnagar,9,15,28.50278350515464,2.290761673852555,955.5309278350516,1.5050166682868882,69.54876288659793,12.074499235452441
Mahbubnagar,9,16,27.71938144329897,2.0714889041625906,955.8247422680413,1.464370664585627,74.64092783505154,11.111393090959446
Mahbubnagar,9,17,26.36226804123711,1.650209270286296,956.3463917525773,1.4109735007898434,83.6701030927835,7.909308794974493
Mahbubnagar,9,18,25.3840206185567,1.407234033332926,956.9865979381443,1.3644007281876602,87.46567010309279,6.703528596197263
Mahbubnagar,9,19,25.04381443298969,1.331099516767818,957.6340206185567,1.3337671115692031,88.18917525773196,6.873718315393882
Mahbubnagar,9,20,24.715051546391752,1.213957134498014,958.2020618556702,1.3379072107090895,89.180206185567,6.403371179077841
Mahbubnagar,9,21,24.380000000000003,1.077880829838502,958.4226804123712,1.352428768506146,90.20865979381443,5.7973436138290255
Mahbubnagar,9,22,24.048762886597938,0.9544351053240426,958.2783505154639,1.3747141221089403,91.1539175257732,5.223316027818013
Mahbubnagar,9,23,23.712061855670104,0.8605980698332318,957.8505154639175,1.3769019959783824,92.2041237113402,4.548460992599894
Mahbubnagar,10,0,22.492043010752692,1.3150174070097567,960.6763440860215,1.9294850546117694,91.0031182795699,7.705877059595278
Mahbubnagar,10,1,22.175806451612903,1.3731567270033105,960.1172043010752,1.9727283940022353,92.0141935483871,7.177594716801273
Mahbubnagar,10,2,21.88752688172043,1.4295192684757452,959.8279569892474,1.981016734527445,92.91064516129033,6.7821961311843095
Mahbubnagar,10,3,21.62236559139785,1.478302785548245,959.9096774193549,1.9664614277896029,93.72989247311827,6.463426116404931
Mahbubnagar,10,4,21.39322580645161,1.5282358124508213,960.358064516129,1.9481497677364563,94.36462365591397,6.233540859760511
Mahbubnagar,10,5,21.193655913978496,1.5788436776890784,961.089247311828,1.9625550319390699,94.85623655913977,6.081060568608371
Mahbubnagar,10,6,21.92268817204301,1.4570690799959765,961.8913978494624,1.986730759749423,92.01053763440859,6.998506574478939
Mahbubnagar,10,7,23.668494623655914,1.2219807034665862,962.578494623656,1.9768689265320547,84.51483870967742,10.143201794144986
Mahbubnagar,10,8,25.969354838709677,1.5203430723042466,962.9612903225806,1.959149785541628,74.37956989247311,14.166231734379018
Mahbubnagar,10,9,27.790430107526884,1.7971958314204366,962.9,1.93345826682783,66.49172043010752,15.376613568469313
Mahbubnagar,10,10,29.04956989247312,2.060560768956339,962.2139784946236,1.8687703116737866,61.75634408602151,15.921050925613246
Mahbubnagar,10,11,29.89924731182796,2.309872590387667,961.141935483871,1.7883878202986565,58.84043010752688,16.475578429773122
Mahbubnagar,10,12,30.40225806451613,2.4879532049598856,960.063440860215,1.733793587975093,57.13204301075269,16.901975672988762
